period,stateRegionId,stateRegionDescription,marketTypeId,marketTypeDescription,price,sales,price-units,sales-units
2023,WVS,West Virginia (Southern),TOT,Total,155.61,38463267,dollars per short ton,short tons
2023,WVS,West Virginia (Southern),OM,Open Market,w,16923476,dollars per short ton,short tons
2023,WVS,West Virginia (Southern),CAP,Captive,w,309194,dollars per short ton,short tons
2023,WVN,West Virginia (Northern),TOT,Total,88.86,43782899,dollars per short ton,short tons
2023,WVN,West Virginia (Northern),OM,Open Market,w,30747117,dollars per short ton,short tons
2023,WVN,West Virginia (Northern),CAP,Captive,w,40323,dollars per short ton,short tons
2023,WV,West Virginia,TOT,Total,120.08,82246166,dollars per short ton,short tons
2023,WV,West Virginia,OM,Open Market,w,47670593,dollars per short ton,short tons
2023,WV,West Virginia,CAP,Captive,w,349517,dollars per short ton,short tons
2023,VA,Virginia,TOT,Total,171.62,10179653,dollars per short ton,short tons
2023,VA,Virginia,OM,Open Market,w,3108436,dollars per short ton,short tons
2023,VA,Virginia,CAP,Captive,w,66437,dollars per short ton,short tons
2023,MD,Maryland,TOT,Total,101.89,1157899,dollars per short ton,short tons
2023,MD,Maryland,OM,Open Market,97.04,1066006,dollars per short ton,short tons
2023,SAT,South Atlantic,TOT,Total,125.46,93583718,dollars per short ton,short tons
2023,SAT,South Atlantic,OM,Open Market,97.86,51845035,dollars per short ton,short tons
2023,SAT,South Atlantic,CAP,Captive,165.38,415954,dollars per short ton,short tons
2023,ND,North Dakota,TOT,Total,23.33,24027932,dollars per short ton,short tons
2023,ND,North Dakota,OM,Open Market,23.33,24027932,dollars per short ton,short tons
2023,MO,Missouri,TOT,Total,66,139699,dollars per short ton,short tons
2023,MO,Missouri,OM,Open Market,w,139699,dollars per short ton,short tons
2023,WNC,West North Central,TOT,Total,23.58,24167631,dollars per short ton,short tons
2023,WNC,West North Central,OM,Open Market,23.58,24167631,dollars per short ton,short tons
2023,OH,Ohio,TOT,Total,66,1915834,dollars per short ton,short tons
2023,OH,Ohio,OM,Open Market,63.74,1730351,dollars per short ton,short tons
2023,IN,Indiana,TOT,Total,59.51,23287989,dollars per short ton,short tons
2023,IN,Indiana,OM,Open Market,69.1,11241475,dollars per short ton,short tons
2023,IN,Indiana,CAP,Captive,52.9,9424716,dollars per short ton,short tons
2023,IL,Illinois,TOT,Total,48.06,36487107,dollars per short ton,short tons
2023,IL,Illinois,OM,Open Market,w,19733596,dollars per short ton,short tons
2023,IL,Illinois,CAP,Captive,w,9082712,dollars per short ton,short tons
2023,ENC,East North Central,TOT,Total,52.94,61690930,dollars per short ton,short tons
2023,ENC,East North Central,OM,Open Market,55.17,32705422,dollars per short ton,short tons
2023,ENC,East North Central,CAP,Captive,44.47,18507428,dollars per short ton,short tons
2023,PAB,Pennsylvania (Bituminous),TOT,Total,87.01,39449206,dollars per short ton,short tons
2023,PAB,Pennsylvania (Bituminous),OM,Open Market,w,20073224,dollars per short ton,short tons
2023,PAB,Pennsylvania (Bituminous),CAP,Captive,w,316966,dollars per short ton,short tons
2023,PAA,Pennsylvania (Anthracite),TOT,Total,165.88,2499672,dollars per short ton,short tons
2023,PAA,Pennsylvania (Anthracite),OM,Open Market,w,2116956,dollars per short ton,short tons
2023,PAA,Pennsylvania (Anthracite),CAP,Captive,w,94019,dollars per short ton,short tons
2023,PA,Pennsylvania,TOT,Total,91.71,41948878,dollars per short ton,short tons
2023,PA,Pennsylvania,OM,Open Market,w,22190180,dollars per short ton,short tons
2023,PA,Pennsylvania,CAP,Captive,w,410985,dollars per short ton,short tons
2023,MAT,Middle Atlantic,TOT,Total,91.71,41948878,dollars per short ton,short tons
2023,MAT,Middle Atlantic,OM,Open Market,83.66,22190180,dollars per short ton,short tons
2023,MAT,Middle Atlantic,CAP,Captive,61.4,410985,dollars per short ton,short tons
2023,US,U.S. Total,TOT,Total,54.04,573690339,dollars per short ton,short tons
2023,US,U.S. Total,OM,Open Market,44.17,337739600,dollars per short ton,short tons
2023,US,U.S. Total,CAP,Captive,27.69,141724538,dollars per short ton,short tons
2023,WMR,West of Mississippi River,TOT,Total,21.96,333183967,dollars per short ton,short tons
2023,WMR,West of Mississippi River,OM,Open Market,20.28,201905366,dollars per short ton,short tons
2023,WMR,West of Mississippi River,CAP,Captive,24.32,122288256,dollars per short ton,short tons
2023,EMR,East of Mississippi River,TOT,Total,98.48,240506372,dollars per short ton,short tons
2023,EMR,East of Mississippi River,OM,Open Market,79.68,135834234,dollars per short ton,short tons
2023,EMR,East of Mississippi River,CAP,Captive,48.94,19436282,dollars per short ton,short tons
2023,WST,West Total,TOT,Total,21.97,294636572,dollars per short ton,short tons
2023,WST,West Total,OM,Open Market,19.66,176719650,dollars per short ton,short tons
2023,WST,West Total,CAP,Captive,25.25,108926577,dollars per short ton,short tons
2023,STH,South Total,TOT,Total,107.03,141066675,dollars per short ton,short tons
2023,STH,South Total,OM,Open Market,84.86,78848281,dollars per short ton,short tons
2023,STH,South Total,CAP,Captive,23.2,13813111,dollars per short ton,short tons
2023,MID,Midwest Total,TOT,Total,44.67,85858561,dollars per short ton,short tons
2023,MID,Midwest Total,OM,Open Market,41.75,56873053,dollars per short ton,short tons
2023,MID,Midwest Total,CAP,Captive,44.47,18507428,dollars per short ton,short tons
2023,EST,East Total,TOT,Total,107.32,52128531,dollars per short ton,short tons
2023,EST,East Total,OM,Open Market,94.03,25298616,dollars per short ton,short tons
2023,EST,East Total,CAP,Captive,65.14,477422,dollars per short ton,short tons
2023,WBO,Other Western,TOT,Total,49.17,47924163,dollars per short ton,short tons
2023,WBO,Other Western,OM,Open Market,33.36,33674947,dollars per short ton,short tons
2023,WBO,Other Western,CAP,Captive,86.48,13996466,dollars per short ton,short tons
2023,UNT,Uinta Basin,TOT,Total,52.25,18719859,dollars per short ton,short tons
2023,UNT,Uinta Basin,OM,Open Market,51.13,10565897,dollars per short ton,short tons
2023,UNT,Uinta Basin,CAP,Captive,55.59,5580483,dollars per short ton,short tons
2023,PRB,Powder River Basin,TOT,Total,14.68,252020482,dollars per short ton,short tons
2023,PRB,Powder River Basin,OM,Open Market,15.15,156506738,dollars per short ton,short tons
2023,PRB,Powder River Basin,CAP,Captive,13.76,89349628,dollars per short ton,short tons
2023,WSB,Western Region Total,TOT,Total,22.08,318664504,dollars per short ton,short tons
2023,WSB,Western Region Total,OM,Open Market,20.1,200747582,dollars per short ton,short tons
2023,WSB,Western Region Total,CAP,Captive,25.25,108926577,dollars per short ton,short tons
2023,INO,Other Interior,TOT,Total,21.12,17450262,dollars per short ton,short tons
2023,INO,Other Interior,OM,Open Market,35.48,4088583,dollars per short ton,short tons
2023,INO,Other Interior,CAP,Captive,16.73,13361679,dollars per short ton,short tons
2023,ILL,Illinois Basin,TOT,Total,53.09,75601168,dollars per short ton,short tons
2023,ILL,Illinois Basin,OM,Open Market,54.96,46041791,dollars per short ton,short tons
2023,ILL,Illinois Basin,CAP,Captive,44.47,18507428,dollars per short ton,short tons
2023,INT,Interior Region Total,TOT,Total,47.09,93051430,dollars per short ton,short tons
2023,INT,Interior Region Total,OM,Open Market,53.37,50130374,dollars per short ton,short tons
2023,INT,Interior Region Total,CAP,Captive,32.84,31869107,dollars per short ton,short tons
2023,APS,Appalachia Southern,TOT,Total,201.95,13139499,dollars per short ton,short tons
2023,APS,Appalachia Southern,OM,Open Market,150.42,2295160,dollars per short ton,short tons
2023,APN,Appalachia Northern,TOT,Total,89.88,88805510,dollars per short ton,short tons
2023,APN,Appalachia Northern,OM,Open Market,72.66,55733654,dollars per short ton,short tons
2023,APN,Appalachia Northern,CAP,Captive,58.85,451308,dollars per short ton,short tons
2023,APC,Appalachia Central,TOT,Total,149.1,60029396,dollars per short ton,short tons
2023,APC,Appalachia Central,OM,Open Market,132.25,28832830,dollars per short ton,short tons
2023,APC,Appalachia Central,CAP,Captive,212.46,477546,dollars per short ton,short tons
2023,APP,Appalachia Total,TOT,Total,120.92,161974405,dollars per short ton,short tons
2023,APP,Appalachia Total,OM,Open Market,94.5,86861644,dollars per short ton,short tons
2023,APP,Appalachia Total,CAP,Captive,137.83,928854,dollars per short ton,short tons
2022,MAT,Middle Atlantic,CAP,Captive,52.15,535433,dollars per short ton,short tons
2022,US,U.S. Total,TOT,Total,54.46,592479286,dollars per short ton,short tons
2022,US,U.S. Total,OM,Open Market,39.85,373642378,dollars per short ton,short tons
2022,US,U.S. Total,CAP,Captive,27.2,139346601,dollars per short ton,short tons
2022,WMR,West of Mississippi River,TOT,Total,21.85,352927810,dollars per short ton,short tons
2022,WMR,West of Mississippi River,OM,Open Market,19.92,226177931,dollars per short ton,short tons
2022,WMR,West of Mississippi River,CAP,Captive,22.38,117764565,dollars per short ton,short tons
2022,EMR,East of Mississippi River,TOT,Total,102.51,239538228,dollars per short ton,short tons
2022,EMR,East of Mississippi River,OM,Open Market,70.41,147464447,dollars per short ton,short tons
2022,EMR,East of Mississippi River,CAP,Captive,53.54,21582036,dollars per short ton,short tons
2022,WST,West Total,TOT,Total,21.93,309468063,dollars per short ton,short tons
2022,WST,West Total,OM,Open Market,19.38,196764581,dollars per short ton,short tons
2022,WST,West Total,CAP,Captive,23.17,103718168,dollars per short ton,short tons
2022,STH,South Total,TOT,Total,112.87,143140416,dollars per short ton,short tons
2022,STH,South Total,OM,Open Market,74.49,88292223,dollars per short ton,short tons
2022,STH,South Total,CAP,Captive,31.31,15526344,dollars per short ton,short tons
2022,MID,Midwest Total,TOT,Total,37.25,90073084,dollars per short ton,short tons
2022,MID,Midwest Total,OM,Open Market,33.47,59966143,dollars per short ton,short tons
2022,MID,Midwest Total,CAP,Captive,44.62,19563980,dollars per short ton,short tons
2022,EST,East Total,TOT,Total,119.89,49784475,dollars per short ton,short tons
2022,EST,East Total,OM,Open Market,87.06,28619431,dollars per short ton,short tons
2022,EST,East Total,CAP,Captive,52.26,538109,dollars per short ton,short tons
2022,WBO,Other Western,TOT,Total,42.45,54633929,dollars per short ton,short tons
2022,WBO,Other Western,OM,Open Market,30.23,40323578,dollars per short ton,short tons
2022,WBO,Other Western,CAP,Captive,76.12,14102589,dollars per short ton,short tons
2022,UNT,Uinta Basin,TOT,Total,56.28,23066244,dollars per short ton,short tons
2022,UNT,Uinta Basin,OM,Open Market,42.93,14275686,dollars per short ton,short tons
2022,UNT,Uinta Basin,CAP,Captive,47.25,4833427,dollars per short ton,short tons
2022,PRB,Powder River Basin,TOT,Total,14.38,258412862,dollars per short ton,short tons
2022,PRB,Powder River Basin,OM,Open Market,14.99,168810289,dollars per short ton,short tons
2022,PRB,Powder River Basin,CAP,Captive,12.99,84782152,dollars per short ton,short tons
2022,WSB,Western Region Total,TOT,Total,21.82,336113035,dollars per short ton,short tons
2022,WSB,Western Region Total,OM,Open Market,19.52,223409553,dollars per short ton,short tons
2022,WSB,Western Region Total,CAP,Captive,23.17,103718168,dollars per short ton,short tons
2022,INO,Other Interior,TOT,Total,23.51,20029419,dollars per short ton,short tons
2022,INO,Other Interior,OM,Open Market,39.97,5983022,dollars per short ton,short tons
2022,INO,Other Interior,CAP,Captive,16.5,14046397,dollars per short ton,short tons
2022,ILL,Illinois Basin,TOT,Total,44.94,77126181,dollars per short ton,short tons
2022,ILL,Illinois Basin,OM,Open Market,44.51,46348728,dollars per short ton,short tons
2022,ILL,Illinois Basin,CAP,Captive,44.62,19563980,dollars per short ton,short tons
2022,INT,Interior Region Total,TOT,Total,40.52,97155600,dollars per short ton,short tons
2022,INT,Interior Region Total,OM,Open Market,43.99,52331750,dollars per short ton,short tons
2022,INT,Interior Region Total,CAP,Captive,32.87,33610377,dollars per short ton,short tons
2022,APS,Appalachia Southern,TOT,Total,269,10390319,dollars per short ton,short tons
2022,APS,Appalachia Southern,OM,Open Market,179.11,1863242,dollars per short ton,short tons
2022,APN,Appalachia Northern,TOT,Total,88.28,89895541,dollars per short ton,short tons
2022,APN,Appalachia Northern,OM,Open Market,62.99,65809780,dollars per short ton,short tons
2022,APN,Appalachia Northern,CAP,Captive,88.75,1124411,dollars per short ton,short tons
2022,APC,Appalachia Central,TOT,Total,174.23,58911543,dollars per short ton,short tons
2022,APC,Appalachia Central,OM,Open Market,123.92,30228053,dollars per short ton,short tons
2022,APC,Appalachia Central,CAP,Captive,204.53,893645,dollars per short ton,short tons
2022,APP,Appalachia Total,TOT,Total,131.88,159197403,dollars per short ton,short tons
2022,APP,Appalachia Total,OM,Open Market,84.01,97901075,dollars per short ton,short tons
2022,APP,Appalachia Total,CAP,Captive,140.02,2018056,dollars per short ton,short tons
2022,AK,Alaska,TOT,Total,67.08,1021362,dollars per short ton,short tons
2022,AK,Alaska,OM,Open Market,w,1021362,dollars per short ton,short tons
2022,PCN,Pacific Noncontiguous,TOT,Total,67.08,1021362,dollars per short ton,short tons
2022,PCN,Pacific Noncontiguous,OM,Open Market,w,1021362,dollars per short ton,short tons
2022,WY,Wyoming,TOT,Total,14.84,245188677,dollars per short ton,short tons
2022,WY,Wyoming,OM,Open Market,15.13,155764940,dollars per short ton,short tons
2022,WY,Wyoming,CAP,Captive,14.34,87699150,dollars per short ton,short tons
2022,UT,Utah,TOT,Total,47.85,11295010,dollars per short ton,short tons
2022,UT,Utah,OM,Open Market,42.27,8936467,dollars per short ton,short tons
2022,NM,New Mexico,TOT,Total,44.07,11077373,dollars per short ton,short tons
2022,NM,New Mexico,OM,Open Market,w,7290560,dollars per short ton,short tons
2022,NM,New Mexico,CAP,Captive,w,3786813,dollars per short ton,short tons
2022,MT,Montana,TOT,Total,43.29,28053682,dollars per short ton,short tons
2022,MT,Montana,OM,Open Market,w,17712583,dollars per short ton,short tons
2022,MT,Montana,CAP,Captive,w,7245265,dollars per short ton,short tons
2022,CO,Colorado,TOT,Total,65,12831959,dollars per short ton,short tons
2022,CO,Colorado,OM,Open Market,w,6038669,dollars per short ton,short tons
2022,CO,Colorado,CAP,Captive,w,4986940,dollars per short ton,short tons
2022,MTN,Mountain,TOT,Total,21.78,308446701,dollars per short ton,short tons
2022,MTN,Mountain,OM,Open Market,19.13,195743219,dollars per short ton,short tons
2022,MTN,Mountain,CAP,Captive,23.17,103718168,dollars per short ton,short tons
2022,TX,Texas,TOT,Total,22.01,16410464,dollars per short ton,short tons
2022,TX,Texas,OM,Open Market,w,2364067,dollars per short ton,short tons
2022,TX,Texas,CAP,Captive,w,14046397,dollars per short ton,short tons
2022,LA,Louisiana,TOT,Total,30.3,330780,dollars per short ton,short tons
2022,LA,Louisiana,OM,Open Market,w,330780,dollars per short ton,short tons
2022,WSC,West South Central,TOT,Total,22.18,16741244,dollars per short ton,short tons
2022,WSC,West South Central,OM,Open Market,51.77,2694847,dollars per short ton,short tons
2022,WSC,West South Central,CAP,Captive,16.5,14046397,dollars per short ton,short tons
2022,MS,Mississippi,TOT,Total,29.52,3214644,dollars per short ton,short tons
2022,MS,Mississippi,OM,Open Market,w,3214644,dollars per short ton,short tons
2022,KYW,Kentucky (West),TOT,Total,48.98,16263668,dollars per short ton,short tons
2022,KYW,Kentucky (West),OM,Open Market,w,15593156,dollars per short ton,short tons
2022,KYE,Kentucky (East),TOT,Total,116.66,12370286,dollars per short ton,short tons
2022,KYE,Kentucky (East),OM,Open Market,w,9804882,dollars per short ton,short tons
2022,KYE,Kentucky (East),CAP,Captive,w,515208,dollars per short ton,short tons
2022,KY,Kentucky,TOT,Total,78.22,28633954,dollars per short ton,short tons
2022,KY,Kentucky,OM,Open Market,66.79,25398038,dollars per short ton,short tons
2022,KY,Kentucky,CAP,Captive,256.14,515208,dollars per short ton,short tons
2022,AL,Alabama,TOT,Total,269,10390319,dollars per short ton,short tons
2022,AL,Alabama,OM,Open Market,179.11,1863242,dollars per short ton,short tons
2022,ESC,East South Central,TOT,Total,121.44,42238917,dollars per short ton,short tons
2022,ESC,East South Central,OM,Open Market,69.72,30475924,dollars per short ton,short tons
2022,ESC,East South Central,CAP,Captive,256.14,515208,dollars per short ton,short tons
2022,WVS,West Virginia (Southern),TOT,Total,182.92,35806554,dollars per short ton,short tons
2022,WVS,West Virginia (Southern),OM,Open Market,w,16945513,dollars per short ton,short tons
2022,WVS,West Virginia (Southern),CAP,Captive,w,375761,dollars per short ton,short tons
2022,WVN,West Virginia (Northern),TOT,Total,85.21,46885924,dollars per short ton,short tons
2022,WVN,West Virginia (Northern),OM,Open Market,w,36793730,dollars per short ton,short tons
2022,WVN,West Virginia (Northern),CAP,Captive,w,588978,dollars per short ton,short tons
2022,WV,West Virginia,TOT,Total,127.52,82692478,dollars per short ton,short tons
2022,WV,West Virginia,OM,Open Market,78.54,53739243,dollars per short ton,short tons
2022,WV,West Virginia,CAP,Captive,126.96,964739,dollars per short ton,short tons
2022,VA,Virginia,TOT,Total,211.57,10734703,dollars per short ton,short tons
2022,VA,Virginia,OM,Open Market,w,3477658,dollars per short ton,short tons
2022,VA,Virginia,CAP,Captive,w,2676,dollars per short ton,short tons
2022,MD,Maryland,TOT,Total,75.71,1467777,dollars per short ton,short tons
2022,MD,Maryland,OM,Open Market,66.85,1382209,dollars per short ton,short tons
2022,SAT,South Atlantic,TOT,Total,136.23,94894958,dollars per short ton,short tons
2022,SAT,South Atlantic,OM,Open Market,82.76,58599110,dollars per short ton,short tons
2022,SAT,South Atlantic,CAP,Captive,126.81,967415,dollars per short ton,short tons
2022,ND,North Dakota,TOT,Total,20.61,26644972,dollars per short ton,short tons
2022,ND,North Dakota,OM,Open Market,20.61,26644972,dollars per short ton,short tons
2022,MO,Missouri,TOT,Total,64,73531,dollars per short ton,short tons
2022,MO,Missouri,OM,Open Market,w,73531,dollars per short ton,short tons
2022,WNC,West North Central,TOT,Total,20.73,26718503,dollars per short ton,short tons
2022,WNC,West North Central,OM,Open Market,20.73,26718503,dollars per short ton,short tons
2022,OH,Ohio,TOT,Total,52.95,2492068,dollars per short ton,short tons
2022,OH,Ohio,OM,Open Market,52.95,2492068,dollars per short ton,short tons
2022,IN,Indiana,TOT,Total,56.67,23219972,dollars per short ton,short tons
2022,IN,Indiana,OM,Open Market,55.1,10982592,dollars per short ton,short tons
2022,IN,Indiana,CAP,Captive,56.82,10708078,dollars per short ton,short tons
2022,IL,Illinois,TOT,Total,35.96,37642541,dollars per short ton,short tons
2022,IL,Illinois,OM,Open Market,w,19772980,dollars per short ton,short tons
2022,IL,Illinois,CAP,Captive,w,8855902,dollars per short ton,short tons
2022,ENC,East North Central,TOT,Total,44.22,63354581,dollars per short ton,short tons
2022,ENC,East North Central,OM,Open Market,43.71,33247640,dollars per short ton,short tons
2022,ENC,East North Central,CAP,Captive,44.62,19563980,dollars per short ton,short tons
2022,PAB,Pennsylvania (Bituminous),TOT,Total,91.51,37095128,dollars per short ton,short tons
2022,PAB,Pennsylvania (Bituminous),OM,Open Market,w,23469527,dollars per short ton,short tons
2022,PAB,Pennsylvania (Bituminous),CAP,Captive,w,392527,dollars per short ton,short tons
2022,PAA,Pennsylvania (Anthracite),TOT,Total,155.03,1954644,dollars per short ton,short tons
2022,PAA,Pennsylvania (Anthracite),OM,Open Market,w,1672246,dollars per short ton,short tons
2022,PAA,Pennsylvania (Anthracite),CAP,Captive,w,142906,dollars per short ton,short tons
2022,PA,Pennsylvania,TOT,Total,94.69,39049772,dollars per short ton,short tons
2022,PA,Pennsylvania,OM,Open Market,w,25141773,dollars per short ton,short tons
2022,PA,Pennsylvania,CAP,Captive,w,535433,dollars per short ton,short tons
2022,MAT,Middle Atlantic,TOT,Total,94.69,39049772,dollars per short ton,short tons
2022,MAT,Middle Atlantic,OM,Open Market,77.75,25141773,dollars per short ton,short tons
2021,MAT,Middle Atlantic,OM,Open Market,57.26,27900388,dollars per short ton,short tons
2021,US,U.S. Total,TOT,Total,36.45,581835070,dollars per short ton,short tons
2021,US,U.S. Total,OM,Open Market,31.76,358362209,dollars per short ton,short tons
2021,US,U.S. Total,CAP,Captive,20.64,145938720,dollars per short ton,short tons
2021,WMR,West of Mississippi River,TOT,Total,17.51,348682546,dollars per short ton,short tons
2021,WMR,West of Mississippi River,OM,Open Market,17.89,214059373,dollars per short ton,short tons
2021,WMR,West of Mississippi River,CAP,Captive,16.18,124679553,dollars per short ton,short tons
2021,EMR,East of Mississippi River,TOT,Total,64.77,233127524,dollars per short ton,short tons
2021,EMR,East of Mississippi River,OM,Open Market,52.34,144302836,dollars per short ton,short tons
2021,EMR,East of Mississippi River,CAP,Captive,46.84,21259167,dollars per short ton,short tons
2021,WST,West Total,TOT,Total,17.2,303932088,dollars per short ton,short tons
2021,WST,West Total,OM,Open Market,17.15,184741797,dollars per short ton,short tons
2021,WST,West Total,CAP,Captive,16.47,109246671,dollars per short ton,short tons
2021,STH,South Total,TOT,Total,69.74,138159925,dollars per short ton,short tons
2021,STH,South Total,OM,Open Market,54.67,84241565,dollars per short ton,short tons
2021,STH,South Total,CAP,Captive,27.89,17359242,dollars per short ton,short tons
2021,MID,Midwest Total,TOT,Total,30.45,87269112,dollars per short ton,short tons
2021,MID,Midwest Total,OM,Open Market,29.54,58348680,dollars per short ton,short tons
2021,MID,Midwest Total,CAP,Captive,34.58,18375425,dollars per short ton,short tons
2021,EST,East Total,TOT,Total,70.26,52448945,dollars per short ton,short tons
2021,EST,East Total,OM,Open Market,60.74,31030167,dollars per short ton,short tons
2021,EST,East Total,CAP,Captive,98.31,957382,dollars per short ton,short tons
2021,WBO,Other Western,TOT,Total,31.44,54847055,dollars per short ton,short tons
2021,WBO,Other Western,OM,Open Market,28.15,39709788,dollars per short ton,short tons
2021,WBO,Other Western,CAP,Captive,39.79,15067209,dollars per short ton,short tons
2021,UNT,Uinta Basin,TOT,Total,42,23490772,dollars per short ton,short tons
2021,UNT,Uinta Basin,OM,Open Market,38.83,14304009,dollars per short ton,short tons
2021,UNT,Uinta Basin,CAP,Captive,44.56,5119833,dollars per short ton,short tons
2021,PRB,Powder River Basin,TOT,Total,11.98,252396053,dollars per short ton,short tons
2021,PRB,Powder River Basin,OM,Open Market,12.73,157529792,dollars per short ton,short tons
2021,PRB,Powder River Basin,CAP,Captive,10.91,89059629,dollars per short ton,short tons
2021,WSB,Western Region Total,TOT,Total,17.34,330733880,dollars per short ton,short tons
2021,WSB,Western Region Total,OM,Open Market,17.39,211543589,dollars per short ton,short tons
2021,WSB,Western Region Total,CAP,Captive,16.47,109246671,dollars per short ton,short tons
2021,INO,Other Interior,TOT,Total,21.55,20973274,dollars per short ton,short tons
2021,INO,Other Interior,OM,Open Market,42.27,5540392,dollars per short ton,short tons
2021,INO,Other Interior,CAP,Captive,14.11,15432882,dollars per short ton,short tons
2021,ILL,Illinois Basin,TOT,Total,37.06,74005462,dollars per short ton,short tons
2021,ILL,Illinois Basin,OM,Open Market,40.19,44323895,dollars per short ton,short tons
2021,ILL,Illinois Basin,CAP,Captive,34.58,18375425,dollars per short ton,short tons
2021,INT,Interior Region Total,TOT,Total,33.63,94978736,dollars per short ton,short tons
2021,INT,Interior Region Total,OM,Open Market,40.42,49864287,dollars per short ton,short tons
2021,INT,Interior Region Total,CAP,Captive,25.23,33808307,dollars per short ton,short tons
2021,APS,Appalachia Southern,TOT,Total,150.54,10178986,dollars per short ton,short tons
2021,APS,Appalachia Southern,OM,Open Market,101.56,1535250,dollars per short ton,short tons
2021,APN,Appalachia Northern,TOT,Total,57.98,90976735,dollars per short ton,short tons
2021,APN,Appalachia Northern,OM,Open Market,50.57,67572042,dollars per short ton,short tons
2021,APN,Appalachia Northern,CAP,Captive,117.72,1055745,dollars per short ton,short tons
2021,APC,Appalachia Central,TOT,Total,99.51,54941733,dollars per short ton,short tons
2021,APC,Appalachia Central,OM,Open Market,75.97,27847041,dollars per short ton,short tons
2021,APC,Appalachia Central,CAP,Captive,129.24,1827997,dollars per short ton,short tons
2021,APP,Appalachia Total,TOT,Total,78.63,156097454,dollars per short ton,short tons
2021,APP,Appalachia Total,OM,Open Market,58.67,96954333,dollars per short ton,short tons
2021,APP,Appalachia Total,CAP,Captive,125.02,2883742,dollars per short ton,short tons
2021,MAT,Middle Atlantic,CAP,Captive,45.01,461326,dollars per short ton,short tons
2021,AK,Alaska,TOT,Total,60.32,1023740,dollars per short ton,short tons
2021,AK,Alaska,OM,Open Market,w,1023740,dollars per short ton,short tons
2021,PCN,Pacific Noncontiguous,TOT,Total,60.32,1023740,dollars per short ton,short tons
