period,stateRegionId,stateRegionDescription,coalRankId,coalRankDescription,price,price-units
2002,APS,Appalachia Southern,TOT,All,34.65,dollars per short ton
2002,APN,Appalachia Northern,BIT,Bituminous,24.62,dollars per short ton
2002,APN,Appalachia Northern,ANT,Anthracite,47.78,dollars per short ton
2002,APN,Appalachia Northern,TOT,All,24.84,dollars per short ton
2002,APC,Appalachia Central,BIT,Bituminous,30.22,dollars per short ton
2002,APC,Appalachia Central,TOT,All,30.22,dollars per short ton
2002,APP,Appalachia Total,BIT,Bituminous,28.62,dollars per short ton
2002,APP,Appalachia Total,ANT,Anthracite,47.78,dollars per short ton
2002,APP,Appalachia Total,TOT,All,28.68,dollars per short ton
2002,AK,Alaska,SUB,Subbituminous,,dollars per short ton
2002,AK,Alaska,TOT,All,,dollars per short ton
2002,PCN,Pacific Noncontiguous,SUB,Subbituminous,,dollars per short ton
2002,PCN,Pacific Noncontiguous,TOT,All,,dollars per short ton
2002,WA,Washington,SUB,Subbituminous,,dollars per short ton
2002,WA,Washington,TOT,All,,dollars per short ton
2002,PCC,Pacific Contiguous,SUB,Subbituminous,,dollars per short ton
2002,PCC,Pacific Contiguous,TOT,All,,dollars per short ton
2002,WY,Wyoming,SUB,Subbituminous,,dollars per short ton
2002,WY,Wyoming,BIT,Bituminous,,dollars per short ton
2002,WY,Wyoming,TOT,All,6.51,dollars per short ton
2002,UT,Utah,BIT,Bituminous,17.96,dollars per short ton
2002,UT,Utah,TOT,All,17.96,dollars per short ton
2002,NM,New Mexico,SUB,Subbituminous,,dollars per short ton
2002,NM,New Mexico,BIT,Bituminous,,dollars per short ton
2002,NM,New Mexico,TOT,All,22.47,dollars per short ton
2002,MT,Montana,SUB,Subbituminous,,dollars per short ton
2002,MT,Montana,LIG,Lignite,,dollars per short ton
2002,MT,Montana,TOT,All,9.2,dollars per short ton
2002,CO,Colorado,SUB,Subbituminous,,dollars per short ton
2002,CO,Colorado,BIT,Bituminous,,dollars per short ton
2002,CO,Colorado,TOT,All,18.55,dollars per short ton
2002,AZ,Arizona,BIT,Bituminous,,dollars per short ton
2002,AZ,Arizona,TOT,All,,dollars per short ton
2002,MTN,Mountain,SUB,Subbituminous,7.38,dollars per short ton
2002,MTN,Mountain,LIG,Lignite,,dollars per short ton
2002,MTN,Mountain,BIT,Bituminous,20.52,dollars per short ton
2002,MTN,Mountain,TOT,All,9.42,dollars per short ton
2002,TX,Texas,LIG,Lignite,,dollars per short ton
2002,TX,Texas,BIT,Bituminous,,dollars per short ton
2002,TX,Texas,TOT,All,14.54,dollars per short ton
2002,OK,Oklahoma,BIT,Bituminous,27.86,dollars per short ton
2002,OK,Oklahoma,TOT,All,27.86,dollars per short ton
2002,LA,Louisiana,LIG,Lignite,,dollars per short ton
2002,LA,Louisiana,TOT,All,,dollars per short ton
2002,AR,Arkansas,BIT,Bituminous,,dollars per short ton
2002,AR,Arkansas,TOT,All,,dollars per short ton
2002,WSC,West South Central,LIG,Lignite,15.01,dollars per short ton
2002,WSC,West South Central,BIT,Bituminous,28.29,dollars per short ton
2002,WSC,West South Central,TOT,All,15.39,dollars per short ton
2002,TN,Tennessee,BIT,Bituminous,29.56,dollars per short ton
2002,TN,Tennessee,TOT,All,29.56,dollars per short ton
2002,MS,Mississippi,LIG,Lignite,,dollars per short ton
2002,MS,Mississippi,TOT,All,,dollars per short ton
2002,KYW,Kentucky (West),BIT,Bituminous,22.37,dollars per short ton
2002,KYW,Kentucky (West),TOT,All,22.37,dollars per short ton
2002,KYE,Kentucky (East),BIT,Bituminous,29.04,dollars per short ton
2002,KYE,Kentucky (East),TOT,All,29.04,dollars per short ton
2002,KY,Kentucky,BIT,Bituminous,27.71,dollars per short ton
2002,KY,Kentucky,TOT,All,27.71,dollars per short ton
2002,AL,Alabama,BIT,Bituminous,34.65,dollars per short ton
2002,AL,Alabama,TOT,All,34.65,dollars per short ton
2002,ESC,East South Central,LIG,Lignite,,dollars per short ton
2002,ESC,East South Central,BIT,Bituminous,28.65,dollars per short ton
2002,ESC,East South Central,TOT,All,28.36,dollars per short ton
2002,WVS,West Virginia (Southern),BIT,Bituminous,31.11,dollars per short ton
2002,WVS,West Virginia (Southern),TOT,All,31.11,dollars per short ton
2002,WVN,West Virginia (Northern),BIT,Bituminous,25.22,dollars per short ton
2002,WVN,West Virginia (Northern),TOT,All,25.22,dollars per short ton
2002,WV,West Virginia,BIT,Bituminous,29.76,dollars per short ton
2002,WV,West Virginia,TOT,All,29.76,dollars per short ton
2002,VA,Virginia,BIT,Bituminous,30.79,dollars per short ton
2002,PAB,Pennsylvania (Bituminous),BIT,Bituminous,25.41,dollars per short ton
2002,PAB,Pennsylvania (Bituminous),TOT,All,25.41,dollars per short ton
2002,VA,Virginia,TOT,All,30.79,dollars per short ton
2002,MD,Maryland,BIT,Bituminous,22.87,dollars per short ton
2002,MD,Maryland,TOT,All,22.87,dollars per short ton
2002,SAT,South Atlantic,BIT,Bituminous,29.74,dollars per short ton
2002,SAT,South Atlantic,TOT,All,29.74,dollars per short ton
2002,ND,North Dakota,LIG,Lignite,8.46,dollars per short ton
2002,ND,North Dakota,TOT,All,8.46,dollars per short ton
2002,MO,Missouri,BIT,Bituminous,,dollars per short ton
2002,MO,Missouri,TOT,All,,dollars per short ton
2002,KS,Kansas,BIT,Bituminous,,dollars per short ton
2002,KS,Kansas,TOT,All,,dollars per short ton
2002,WNC,West North Central,LIG,Lignite,8.46,dollars per short ton
2002,WNC,West North Central,BIT,Bituminous,26.09,dollars per short ton
2002,WNC,West North Central,TOT,All,8.72,dollars per short ton
2002,OH,Ohio,BIT,Bituminous,21.53,dollars per short ton
2002,OH,Ohio,TOT,All,21.53,dollars per short ton
2002,IN,Indiana,BIT,Bituminous,22.16,dollars per short ton
2002,PAA,Pennsylvania (Anthracite),ANT,Anthracite,47.78,dollars per short ton
2002,PAA,Pennsylvania (Anthracite),TOT,All,47.78,dollars per short ton
2002,PA,Pennsylvania,BIT,Bituminous,25.41,dollars per short ton
2002,PA,Pennsylvania,ANT,Anthracite,47.78,dollars per short ton
2002,PA,Pennsylvania,TOT,All,25.82,dollars per short ton
2002,IN,Indiana,TOT,All,22.16,dollars per short ton
2002,IL,Illinois,BIT,Bituminous,24.03,dollars per short ton
2002,IL,Illinois,TOT,All,24.03,dollars per short ton
2002,ENC,East North Central,BIT,Bituminous,22.7,dollars per short ton
2002,ENC,East North Central,TOT,All,22.7,dollars per short ton
2002,MAT,Middle Atlantic,BIT,Bituminous,25.41,dollars per short ton
2002,MAT,Middle Atlantic,ANT,Anthracite,47.78,dollars per short ton
2002,MAT,Middle Atlantic,TOT,All,25.82,dollars per short ton
2002,UNT,Uinta Basin,SUB,Subbituminous,20.03,dollars per short ton
2002,UNT,Uinta Basin,BIT,Bituminous,18.0,dollars per short ton
2002,UNT,Uinta Basin,TOT,All,18.25,dollars per short ton
2002,WSB,Western Region Total,SUB,Subbituminous,7.64,dollars per short ton
2002,WSB,Western Region Total,LIG,Lignite,8.48,dollars per short ton
2002,WSB,Western Region Total,BIT,Bituminous,20.52,dollars per short ton
2002,WSB,Western Region Total,TOT,All,9.55,dollars per short ton
2002,INT,Interior Region Total,LIG,Lignite,14.94,dollars per short ton
2002,INT,Interior Region Total,BIT,Bituminous,22.98,dollars per short ton
2003,WMR,West of Mississippi River,LIG,Lignite,12.1,dollars per short ton
2003,UNT,Uinta Basin,SUB,Subbituminous,20.37,dollars per short ton
2003,UNT,Uinta Basin,BIT,Bituminous,18.06,dollars per short ton
2003,UNT,Uinta Basin,TOT,All,18.32,dollars per short ton
2003,WSB,Western Region Total,SUB,Subbituminous,8.11,dollars per short ton
2003,WSB,Western Region Total,LIG,Lignite,8.79,dollars per short ton
2003,WSB,Western Region Total,BIT,Bituminous,20.38,dollars per short ton
2003,WSB,Western Region Total,TOT,All,9.84,dollars per short ton
2003,INT,Interior Region Total,LIG,Lignite,14.14,dollars per short ton
2003,INT,Interior Region Total,BIT,Bituminous,23.03,dollars per short ton
2003,INT,Interior Region Total,TOT,All,19.66,dollars per short ton
2003,WBO,Other Western,SUB,Subbituminous,20.74,dollars per short ton
2003,WBO,Other Western,LIG,Lignite,8.79,dollars per short ton
2003,WBO,Other Western,BIT,Bituminous,25.47,dollars per short ton
2003,WBO,Other Western,TOT,All,17.85,dollars per short ton
2003,INO,Other Interior,LIG,Lignite,14.14,dollars per short ton
2003,INO,Other Interior,BIT,Bituminous,27.14,dollars per short ton
2003,INO,Other Interior,TOT,All,14.67,dollars per short ton
2003,WMR,West of Mississippi River,BIT,Bituminous,20.58,dollars per short ton
2003,WMR,West of Mississippi River,TOT,All,10.27,dollars per short ton
2003,EMR,East of Mississippi River,LIG,Lignite,14.51,dollars per short ton
2003,EMR,East of Mississippi River,BIT,Bituminous,27.81,dollars per short ton
2003,EMR,East of Mississippi River,ANT,Anthracite,49.87,dollars per short ton
2003,EMR,East of Mississippi River,TOT,All,27.76,dollars per short ton
2003,WST,West Total,SUB,Subbituminous,8.11,dollars per short ton
2003,WST,West Total,LIG,Lignite,11.07,dollars per short ton
2003,WST,West Total,BIT,Bituminous,20.38,dollars per short ton
2003,WST,West Total,TOT,All,9.91,dollars per short ton
2003,STH,South Total,LIG,Lignite,14.14,dollars per short ton
2003,STH,South Total,BIT,Bituminous,29.39,dollars per short ton
2003,STH,South Total,TOT,All,26.9,dollars per short ton
2003,MID,Midwest Total,LIG,Lignite,8.76,dollars per short ton
2003,MID,Midwest Total,BIT,Bituminous,22.89,dollars per short ton
2003,MID,Midwest Total,TOT,All,19.25,dollars per short ton
2003,EST,East Total,BIT,Bituminous,27.71,dollars per short ton
2003,EST,East Total,ANT,Anthracite,49.87,dollars per short ton
2003,EST,East Total,TOT,All,28.0,dollars per short ton
2003,PRB,Powder River Basin,SUB,Subbituminous,6.77,dollars per short ton
2003,PRB,Powder River Basin,TOT,All,6.77,dollars per short ton
2003,ILL,Illinois Basin,BIT,Bituminous,22.93,dollars per short ton
2003,ILL,Illinois Basin,TOT,All,22.93,dollars per short ton
2003,APS,Appalachia Southern,BIT,Bituminous,33.75,dollars per short ton
2003,APS,Appalachia Southern,TOT,All,33.75,dollars per short ton
2003,OK,Oklahoma,TOT,All,28.32,dollars per short ton
2003,LA,Louisiana,LIG,Lignite,,dollars per short ton
2003,LA,Louisiana,TOT,All,,dollars per short ton
2003,WSC,West South Central,LIG,Lignite,14.12,dollars per short ton
2003,WSC,West South Central,BIT,Bituminous,28.48,dollars per short ton
2003,WSC,West South Central,TOT,All,14.56,dollars per short ton
2003,APN,Appalachia Northern,BIT,Bituminous,25.37,dollars per short ton
2003,APN,Appalachia Northern,ANT,Anthracite,49.87,dollars per short ton
2003,APN,Appalachia Northern,TOT,All,25.62,dollars per short ton
2003,APC,Appalachia Central,BIT,Bituminous,30.45,dollars per short ton
2003,APC,Appalachia Central,TOT,All,30.45,dollars per short ton
2003,APP,Appalachia Total,BIT,Bituminous,28.95,dollars per short ton
2003,APP,Appalachia Total,ANT,Anthracite,49.87,dollars per short ton
2003,APP,Appalachia Total,TOT,All,29.02,dollars per short ton
2003,AK,Alaska,SUB,Subbituminous,,dollars per short ton
2003,AK,Alaska,TOT,All,,dollars per short ton
2003,PCN,Pacific Noncontiguous,SUB,Subbituminous,,dollars per short ton
2003,PCN,Pacific Noncontiguous,TOT,All,,dollars per short ton
2003,WA,Washington,SUB,Subbituminous,,dollars per short ton
2003,WA,Washington,TOT,All,,dollars per short ton
2003,PCC,Pacific Contiguous,SUB,Subbituminous,,dollars per short ton
2003,PCC,Pacific Contiguous,TOT,All,,dollars per short ton
2003,WY,Wyoming,SUB,Subbituminous,,dollars per short ton
2003,WY,Wyoming,BIT,Bituminous,,dollars per short ton
2003,WY,Wyoming,TOT,All,6.99,dollars per short ton
2003,UT,Utah,BIT,Bituminous,17.32,dollars per short ton
2003,UT,Utah,TOT,All,17.32,dollars per short ton
2003,NM,New Mexico,SUB,Subbituminous,,dollars per short ton
2003,NM,New Mexico,BIT,Bituminous,,dollars per short ton
2003,NM,New Mexico,TOT,All,23.18,dollars per short ton
2003,MT,Montana,SUB,Subbituminous,,dollars per short ton
2003,MT,Montana,LIG,Lignite,,dollars per short ton
2003,MT,Montana,TOT,All,9.36,dollars per short ton
2003,CO,Colorado,SUB,Subbituminous,,dollars per short ton
2003,CO,Colorado,BIT,Bituminous,,dollars per short ton
2003,CO,Colorado,TOT,All,19.08,dollars per short ton
2003,AZ,Arizona,BIT,Bituminous,,dollars per short ton
2003,AZ,Arizona,TOT,All,,dollars per short ton
2003,MTN,Mountain,SUB,Subbituminous,7.86,dollars per short ton
2003,MTN,Mountain,LIG,Lignite,,dollars per short ton
2003,MTN,Mountain,BIT,Bituminous,20.38,dollars per short ton
2003,MTN,Mountain,TOT,All,9.71,dollars per short ton
2003,TX,Texas,LIG,Lignite,,dollars per short ton
2003,TX,Texas,BIT,Bituminous,,dollars per short ton
2003,TX,Texas,TOT,All,13.78,dollars per short ton
2003,OK,Oklahoma,BIT,Bituminous,28.32,dollars per short ton
2003,TN,Tennessee,BIT,Bituminous,29.09,dollars per short ton
2003,TN,Tennessee,TOT,All,29.09,dollars per short ton
2003,MS,Mississippi,LIG,Lignite,,dollars per short ton
2003,MS,Mississippi,TOT,All,,dollars per short ton
2003,KYW,Kentucky (West),BIT,Bituminous,22.11,dollars per short ton
2003,KYW,Kentucky (West),TOT,All,22.11,dollars per short ton
2003,KYE,Kentucky (East),BIT,Bituminous,29.52,dollars per short ton
2003,KYE,Kentucky (East),TOT,All,29.52,dollars per short ton
2003,KY,Kentucky,BIT,Bituminous,28.12,dollars per short ton
2003,KY,Kentucky,TOT,All,28.12,dollars per short ton
2003,AL,Alabama,BIT,Bituminous,33.75,dollars per short ton
2003,AL,Alabama,TOT,All,33.75,dollars per short ton
2003,ESC,East South Central,LIG,Lignite,,dollars per short ton
2003,ESC,East South Central,BIT,Bituminous,28.99,dollars per short ton
2003,ESC,East South Central,TOT,All,28.6,dollars per short ton
2003,WVS,West Virginia (Southern),BIT,Bituminous,31.25,dollars per short ton
2003,WVS,West Virginia (Southern),TOT,All,31.25,dollars per short ton
2003,WVN,West Virginia (Northern),BIT,Bituminous,26.36,dollars per short ton
2003,WVN,West Virginia (Northern),TOT,All,26.36,dollars per short ton
2003,WV,West Virginia,BIT,Bituminous,30.04,dollars per short ton
2003,WV,West Virginia,TOT,All,30.04,dollars per short ton
2003,VA,Virginia,BIT,Bituminous,30.59,dollars per short ton
2003,PAB,Pennsylvania (Bituminous),BIT,Bituminous,26.25,dollars per short ton
2003,PAB,Pennsylvania (Bituminous),TOT,All,26.25,dollars per short ton
2003,PAA,Pennsylvania (Anthracite),ANT,Anthracite,49.87,dollars per short ton
2003,PAA,Pennsylvania (Anthracite),TOT,All,49.87,dollars per short ton
2003,PA,Pennsylvania,BIT,Bituminous,26.25,dollars per short ton
2003,PA,Pennsylvania,ANT,Anthracite,49.87,dollars per short ton
2003,PA,Pennsylvania,TOT,All,26.71,dollars per short ton
2003,VA,Virginia,TOT,All,30.59,dollars per short ton
2003,MD,Maryland,BIT,Bituminous,22.66,dollars per short ton
2003,MD,Maryland,TOT,All,22.66,dollars per short ton
